Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCE19,OUT017,784.35
NCM53,OUT010,170.1
NCN18,OUT049,1441.62
FDF32,OUT035,2989.23
FDF11,OUT013,3178.24
DRI59,OUT049,3856.16
NCG54,OUT035,2535.07
FDM44,OUT046,1359.43
FDT57,OUT018,2504.76
FDV24,OUT046,2027.77
FDI50,OUT019,572.04
FDS09,OUT035,742.22
NCC31,OUT027,3912.95
FDQ07,OUT019,387.66
FDC22,OUT017,3240.46
FDZ56,OUT046,2775.62
FDZ40,OUT019,133.08
FDS46,OUT027,2231.04
DRD24,OUT045,1648.84
FDV45,OUT017,2949.29
FDL26,OUT045,2367.03
FDA56,OUT018,1490.57
FDN27,OUT046,1553.58
FDM20,OUT049,3960.27
FDO16,OUT017,1851.61
FDL03,OUT035,2784.78
FDE58,OUT046,1805.37
FDI02,OUT027,3307.94
NCC55,OUT019,49.08
FDR03,OUT018,2846.07
FDB14,OUT017,1312.14
FDR45,OUT013,3872.01
NCN07,OUT017,2008.82
FDM51,OUT019,218.39
FDT52,OUT027,5762.09
FDL26,OUT046,2399.17
NCZ42,OUT046,3488.01
DRI47,OUT019,394.76
FDW40,OUT013,1808.74
FDN34,OUT046,2809.43
FDS01,OUT035,2316.48
NCG55,OUT045,1777.95
FDC11,OUT035,1126.44
FDX35,OUT018,1461.19
NCB06,OUT046,2441.33
FDR09,OUT019,567.27
FDC53,OUT017,1061.63
FDY45,OUT013,3734.22
FDA22,OUT010,312.16
FDE02,OUT035,1354.66
FDW21,OUT045,1578.6
FDV34,OUT046,1074.14
FDS59,OUT049,1588.68
NCW17,OUT017,2323.66
NCK54,OUT046,1799.04
FDG17,OUT019,461.22
FDG35,OUT017,2346.54
FDD08,OUT010,72.13
NCO07,OUT017,2764.67
FDJ10,OUT010,250.71
FDW36,OUT017,1396.22
FDW21,OUT010,216
FDY19,OUT017,1795.46
DRE03,OUT013,563.87
NCC55,OUT049,699.75
FDH52,OUT010,140.68
FDO09,OUT017,3112.48
FDU43,OUT045,3314.34
FDX09,OUT010,350.4
FDH40,OUT019,167.66
FDW58,OUT017,1346.83
FDC47,OUT017,3861.54
NCR41,OUT035,1205.49
DRG49,OUT035,3835.32
FDC52,OUT027,2799.44
FDY13,OUT046,1095.83
FDY35,OUT013,622.29
FDI35,OUT017,3719.64
NCU18,OUT049,1920.93
FDY33,OUT018,2171.17
FDC15,OUT027,3417.3
FDU01,OUT049,3074.39
NCU42,OUT046,3121.87
NCV29,OUT018,2061.59
NCY30,OUT017,2929.78
FDQ46,OUT049,1631.05
FDG58,OUT027,3390.86
FDK33,OUT017,3241.01
NCD07,OUT045,1389.63
NCX29,OUT027,3602.11
NCT42,OUT013,2076.39
DRN59,OUT035,632.04
FDI44,OUT035,1263.54
FDA45,OUT049,1148.77
FDP31,OUT045,781.28
FDY01,OUT046,1691.44
FDT09,OUT018,1874.1
DRH03,OUT027,2528.58
FDA36,OUT018,1771.37
NCF31,OUT017,2033.45
FDG14,OUT049,2313.82
FDG28,OUT027,5679.71
FDU14,OUT049,3699.12
FDY47,OUT019,257.54
FDI56,OUT049,1237.12
DRD01,OUT013,610.84
FDM22,OUT046,810.54
FDH33,OUT013,613.13
DRZ24,OUT013,1721.46
NCQ38,OUT046,1451.13
FDO16,OUT027,2331.21
FDU07,OUT027,3555.4
NCB07,OUT013,2141.73
FDU48,OUT045,1266.97
NCM43,OUT045,2311.61
FDR31,OUT010,251.63
DRK49,OUT018,469.09
NCI30,OUT010,506.97
DRD60,OUT017,2744.3
NCG19,OUT046,2616.75
FDH12,OUT035,1544.87
FDM32,OUT035,1224.02
FDM27,OUT035,2236.64
NCU53,OUT027,3911.82
NCQ18,OUT046,1610.26
FDS10,OUT013,2788.74
FDB33,OUT027,3645.49
FDI12,OUT013,1151.52
NCW42,OUT013,3624.55
NCC06,OUT018,1892.06
FDW02,OUT017,1898.83
NCD43,OUT017,1161.2
FDM57,OUT018,965.42
FDA58,OUT017,3531.3
FDK56,OUT046,3072.12
FDP52,OUT045,3616.29
FDW20,OUT018,1845.64
FDS52,OUT049,1254.96
NCT29,OUT018,1637.39
NCL54,OUT013,2547.3
FDC05,OUT045,2417.05
FDF34,OUT035,2291.12
FDP03,OUT027,2855.98
FDD32,OUT010,155.94
FDZ10,OUT045,1878.55
FDZ40,OUT035,868.57
FDD51,OUT018,413.29
NCY30,OUT019,380.03
FDP58,OUT017,3136.79
FDV49,OUT017,3923
FDY24,OUT019,133.13
NCO55,OUT017,1380.76
FDR13,OUT017,1456.89
FDS51,OUT017,963.05
FDP26,OUT045,1182.95
NCB54,OUT027,3917.66
FDF32,OUT017,2584.89
FDN31,OUT018,2588.08
DRM48,OUT017,607.51
FDN20,OUT049,2598.58
DRL01,OUT046,3408.2
FDV56,OUT049,1286.33
DRH13,OUT027,2353.72
FDA03,OUT017,2301.52
FDF47,OUT027,5169.28
FDX32,OUT046,2598.09
FDX57,OUT049,1570.94
NCA30,OUT045,2986.47
FDO49,OUT013,657.6
FDL04,OUT019,223.28
DRM48,OUT035,619.39
FDR16,OUT013,3765.74
NCC19,OUT018,3078.77
NCE42,OUT045,2755.07
FDY24,OUT017,888.68
FDH19,OUT049,1543.04
FDJ46,OUT013,2344.75
FDN45,OUT010,605.08
FDY08,OUT035,2054.18
FDZ37,OUT035,1412.15
NCT30,OUT045,684.45
DRY23,OUT018,374.31
NCZ30,OUT018,1415.12
FDC44,OUT018,1342.13
FDB45,OUT035,1314.38
FDY04,OUT013,2385.05
FDM27,OUT046,2443.32
FDZ43,OUT017,3613.6
FDT39,OUT019,353.41
NCC06,OUT019,288.63
FDL15,OUT027,4055.56
FDL57,OUT017,3738.78
FDU08,OUT046,1181.62
FDK40,OUT017,3392.45
FDQ12,OUT010,462.46
FDS48,OUT017,2285.15
FDP09,OUT045,3774.29
FDW21,OUT049,1380.9
FDY25,OUT035,2831.38
DRE13,OUT017,1369.15
FDV43,OUT019,60.31
FDD22,OUT045,1547.28
FDM46,OUT019,243.5
NCO30,OUT010,403.22
FDM25,OUT046,2349.53
NCN41,OUT049,1708.8
FDU24,OUT045,872.52
FDZ50,OUT046,2773.95
FDP45,OUT013,3393.81
NCM54,OUT045,1746.18
FDW10,OUT019,300.8
FDP20,OUT017,1718.42
FDK32,OUT046,2461.84
FDN52,OUT049,1029.32
FDM58,OUT045,1191.7
FDZ46,OUT027,2149.73
NCA18,OUT018,1590.86
FDD35,OUT046,1627.24
NCK31,OUT035,657.26
FDI40,OUT027,2573.58
FDT50,OUT019,199.66
NCT06,OUT046,2450.7
FDT31,OUT035,2403.46
FDT45,OUT049,671.21
FDT13,OUT045,2885.45
FDO50,OUT045,1233.05
NCU18,OUT010,297.43
NCR54,OUT049,2888.5
NCO18,OUT018,2492.47
FDU09,OUT045,682.5
FDT13,OUT018,2740.75
FDE09,OUT046,1643.82
NCK53,OUT019,268.49
FDG45,OUT049,3426.84
DRH15,OUT035,647.81
FDO21,OUT019,453.41
FDD14,OUT027,5557.76
FDC09,OUT046,1566.31
FDH45,OUT027,922.19
FDV32,OUT046,1193.73
FDG12,OUT035,1809.57
FDS32,OUT013,1503.28
NCL55,OUT018,2740.76
DRE01,OUT035,3777.81
DRE15,OUT049,1137.86
NCL42,OUT045,3688.39
FDP31,OUT013,529.36
FDN33,OUT018,877.78
FDZ59,OUT046,2627.73
FDE45,OUT010,369.21
FDJ07,OUT013,1527.18
FDQ45,OUT018,2392.67
FDM33,OUT027,3914.09
FDO15,OUT010,182.36
FDM46,OUT013,1291.61
FDR03,OUT045,2872.11
FDY49,OUT018,2116.83
FDQ60,OUT045,1647.66
FDW10,OUT049,2349.53
FDO51,OUT049,608.88
FDJ40,OUT018,1113.59
FDS20,OUT018,2694.49
FDU45,OUT013,1924.68
FDV02,OUT035,2399.47
FDN09,OUT046,3554.42
NCM55,OUT027,4492.87
FDN23,OUT018,1878.2
FDY31,OUT010,300.01
FDW03,OUT010,227.4
FDD14,OUT046,2784.53
FDV23,OUT017,1759.19
DRI03,OUT045,2441.19
FDN13,OUT035,1501.89
FDF45,OUT027,1411.57
FDU46,OUT035,1352.75
FDB57,OUT049,3606.23
FDV12,OUT049,1713.15
FDQ58,OUT013,1959.61
NCA18,OUT017,1460.96
FDH52,OUT049,815.79
FDM24,OUT018,1741.53
NCP43,OUT027,3326.38
NCO18,OUT019,444
FDM32,OUT017,968.24
NCL07,OUT017,535.27
FDK03,OUT013,4188.81
FDP59,OUT017,1213.12
FDQ24,OUT049,3722.54
FDQ16,OUT018,1181.57
FDU44,OUT013,2229.24
FDH28,OUT010,100.46
FDV28,OUT019,70.37
FDM22,OUT045,897.6
FDR56,OUT046,2751.93
FDV39,OUT049,2224.18
FDU37,OUT019,199.8
FDQ11,OUT010,365
FDX02,OUT045,3539.63
NCS42,OUT018,1347.79
FDY57,OUT027,2697.68
FDB21,OUT049,3562.7
FDE28,OUT017,3596.27
FDQ55,OUT017,2290.45
FDA48,OUT049,3461.6
FDZ19,OUT045,2205.07
NCC43,OUT045,3462.89
NCV18,OUT046,1369.62
NCA42,OUT018,2361.58
FDY45,OUT046,3465.88
NCC30,OUT045,2739.92
FDM57,OUT013,1120.91
FDL09,OUT010,338.42
FDB09,OUT027,3886.41
FDT44,OUT035,1827.53
NCT06,OUT027,4054.75
FDX26,OUT049,3153.22
FDK32,OUT013,2418.93
DRA12,OUT046,1856.97
FDO46,OUT010,472.45
FDE52,OUT013,1175.32
NCH42,OUT045,3892.99
FDV08,OUT035,643.52
FDB47,OUT018,2187.98
FDC28,OUT010,163.48
FDD22,OUT046,1626.26
FDS07,OUT027,3656.72
DRI13,OUT045,3050.84
FDG32,OUT018,3887.05
FDU14,OUT017,3875.42
FDD28,OUT019,119.53
NCP41,OUT017,1433.94
FDS08,OUT049,2064.84
FDX47,OUT045,2159.12
FDC53,OUT019,189.54
FDQ19,OUT035,2301.13
FDL14,OUT045,2124.39
FDM33,OUT019,558.48
FDA51,OUT045,1851.03
FDZ27,OUT018,505.83
FDT04,OUT046,594.58
DRC13,OUT049,1822.54
FDR16,OUT027,3912.82
FDQ03,OUT027,6348.3
FDE38,OUT035,2239.53
DRH23,OUT027,2379.35
FDT11,OUT019,503.88
FDD09,OUT035,2707.59
FDR40,OUT045,1263.22
FDX07,OUT017,2950.56
FDR07,OUT035,867.11
FDA51,OUT017,1846.73
FDT59,OUT019,470.93
FDF20,OUT017,2710.66
FDR13,OUT045,1631.96
FDY26,OUT049,4190.58
FDW04,OUT017,1800.76
FDK52,OUT017,3757.21
FDN60,OUT049,2621.12
FDM09,OUT019,328.61
FDP46,OUT049,1284.08
FDB50,OUT019,225.82
NCQ29,OUT049,3437.27
FDP16,OUT027,6170.76
FDX33,OUT018,2120.77
FDP07,OUT010,426.96
FDN22,OUT046,3647.07
FDF39,OUT049,3676.86
FDS21,OUT017,842.66
NCM42,OUT013,1465.01
FDK50,OUT019,361.82
DRF13,OUT027,3539.23
FDH35,OUT018,1715.93
FDP60,OUT018,1386.75
DRJ49,OUT027,3306.02
NCT42,OUT019,299.71
FDE38,OUT049,2219.58
FDI04,OUT049,2431.55
NCH54,OUT045,2448
FDT56,OUT049,833.63
DRD15,OUT018,2396.18
FDV58,OUT013,2155.44
FDP21,OUT049,3081.17
FDH05,OUT013,3439.44
FDR10,OUT027,4562.89
NCP06,OUT045,1938.19
FDF33,OUT049,1512.61
DRK37,OUT013,2488.59
DRH49,OUT045,960.03
FDT58,OUT013,2410.54
FDD41,OUT018,1391.14
FDP40,OUT018,1538.78
FDM51,OUT027,2323.41
FDO45,OUT010,140.12
FDW33,OUT010,254.11
FDY24,OUT045,706.69
FDB10,OUT010,592.11
FDM40,OUT035,1851.06
NCI06,OUT017,2919.2
FDW12,OUT019,264.67
FDX48,OUT027,4313.34
NCW05,OUT027,2188.87
FDX27,OUT017,1335.67
DRM37,OUT045,2809.15
FDA38,OUT045,3477.27
FDR36,OUT046,686.54
FDZ45,OUT046,2851.88
FDG05,OUT017,2302.33
FDK28,OUT013,4171.38
FDV47,OUT045,1244.13
FDN21,OUT045,2381.26
FDP20,OUT027,4191.2
FDI35,OUT045,3624.79
DRY23,OUT013,519.7
FDA56,OUT017,1866.69
FDB09,OUT013,1593.31
NCO26,OUT027,2782.89
FDQ49,OUT018,1902.48
FDI52,OUT027,2556.79
FDZ44,OUT027,2877.91
FDZ09,OUT018,2209.9
FDY03,OUT049,1805.07
NCG42,OUT017,1896.35
DRI13,OUT027,5901.16
FDQ32,OUT013,1719.54
FDW16,OUT035,1142.47
FDU27,OUT046,792.31
FDR28,OUT010,384.15
FDQ49,OUT010,291.18
FDS37,OUT046,1718.1
FDW26,OUT018,3301.5
FDX12,OUT018,2278.29
NCP06,OUT013,2248.77
FDW45,OUT010,290.03
NCN30,OUT049,1243.46
FDN24,OUT049,956.64
NCL41,OUT027,1069.21
FDR02,OUT019,233.97
FDD09,OUT010,414.47
FDS33,OUT010,153.45
FDU22,OUT045,1962.45
FDI53,OUT013,2096.95
DRH01,OUT049,2325.97
FDX32,OUT013,2117.94
NCP30,OUT018,501.24
FDB60,OUT045,2721.13
FDB14,OUT049,1228.79
NCP02,OUT035,675.46
FDJ10,OUT017,1864.54
FDG34,OUT046,1460.11
NCB18,OUT017,1336.43
FDM16,OUT049,1037.74
FDW25,OUT018,975.17
FDB35,OUT010,129.65
DRN11,OUT013,1674.63
FDF41,OUT019,426.58
FDH16,OUT045,1194.52
NCQ50,OUT018,2770.93
DRH23,OUT018,633.85
DRJ37,OUT013,2013.94
DRJ24,OUT027,4541.32
FDY16,OUT035,2938.37
FDQ27,OUT045,1896.58
FDZ33,OUT045,2033.29
FDF29,OUT045,1943.71
FDA08,OUT049,2265.98
FDG31,OUT046,1089.44
FDE34,OUT019,337.02
NCR30,OUT027,1111.35
FDV33,OUT035,3747.35
DRZ24,OUT018,1543.25
NCL54,OUT035,2558.71
FDR12,OUT049,2218.74
NCC54,OUT046,3580.96
DRN59,OUT013,670.31
FDX50,OUT019,181.82
FDV31,OUT027,4046.17
NCA29,OUT027,4884.68
FDW60,OUT049,2572.43
FDX08,OUT017,2990.17
DRD49,OUT013,3183.43
FDD33,OUT046,3333.42
FDW35,OUT013,668.22
FDJ36,OUT017,1099.22
FDV51,OUT035,2511.61
FDW36,OUT046,1573.87
FDH35,OUT046,2172.69
NCS30,OUT027,2706.47
FDN49,OUT017,564.09
FDL08,OUT018,3211.65
FDI09,OUT013,2836.82
FDP19,OUT018,1751.74
FDU21,OUT010,58.85
NCP41,OUT045,1241.04
FDY10,OUT013,1748.58
FDP12,OUT018,439.14
NCN26,OUT049,1543.54
FDK44,OUT013,2026.36
FDC28,OUT049,1341.36
FDJ41,OUT027,5904.3
NCT29,OUT035,1610.72
NCH42,OUT019,579.36
FDU60,OUT018,1948.83
FDS02,OUT045,3013.48
FDC51,OUT046,1797.05
FDU03,OUT013,2874.67
FDX39,OUT045,3529.17
NCY05,OUT010,74.39
NCL06,OUT027,5749.75
FDD32,OUT035,1160.28
NCN41,OUT045,1606.88
NCX53,OUT049,2280.84
FDU57,OUT019,262.43
FDQ23,OUT046,1671.2
FDQ52,OUT045,4222.2
FDC14,OUT045,589.64
FDY09,OUT035,2828.76
FDQ28,OUT045,2439.12
FDV25,OUT046,4309.12
FDJ07,OUT035,1966.55
DRB25,OUT049,1486.52
FDK52,OUT019,624.7
FDY52,OUT027,1449.79
FDB28,OUT046,1815.98
FDT36,OUT035,595.38
FDV25,OUT017,3878.99
NCN07,OUT027,3738.93
FDC57,OUT017,2821.64
FDQ03,OUT018,2502.31
FDU23,OUT017,2775.86
NCX41,OUT035,3103.13
NCD06,OUT035,676.15
FDW08,OUT045,1418.59
NCU29,OUT017,2421.91
NCE06,OUT013,2158.39
FDV52,OUT010,220.99
FDB02,OUT017,2378.16
NCR18,OUT045,629.82
FDK16,OUT049,1398.62
NCQ29,OUT010,719.29
FDZ01,OUT019,188.76
FDW27,OUT035,2100.98
FDD17,OUT018,3427.69
FDW39,OUT013,2385.07
DRH59,OUT045,1060.33
FDS52,OUT013,855.88
FDU40,OUT027,4948.22
NCF54,OUT013,2182.43
FDH46,OUT045,1546.06
NCP14,OUT049,1758.93
FDH50,OUT049,3043.33
DRF15,OUT010,257.23
FDV27,OUT027,2172.67
NCJ06,OUT049,2111.27
FDN02,OUT018,3150.49
FDQ51,OUT049,771.41
FDQ07,OUT017,3655.29
FDS45,OUT049,1892.87
NCJ06,OUT045,2044.11
FDD36,OUT035,1807.9
FDY25,OUT045,3054.08
FDU52,OUT046,2220.48
DRK47,OUT017,3651.48
NCL30,OUT017,1856.12
FDN22,OUT035,3672.27
NCF30,OUT027,3268.7
FDK03,OUT035,4112.47
FDT45,OUT017,818.41
NCC54,OUT027,5287.8
FDP08,OUT018,2888.66
FDU44,OUT046,2278.86
DRG39,OUT035,752
FDU32,OUT049,1952.32
FDY27,OUT049,2337.75
NCP54,OUT013,1688.84
NCZ41,OUT049,1782.49
DRL49,OUT013,1998.54
FDI05,OUT018,1198.93
FDY56,OUT045,3938.57
DRC13,OUT013,1479.79
NCV29,OUT017,2691.94
FDR24,OUT049,1193.11
FDZ34,OUT018,3048.6
FDP37,OUT035,1866.82
FDX08,OUT027,3906.98
FDS57,OUT045,1876.65
NCG18,OUT049,1521.84
FDK25,OUT018,2444.13
FDH53,OUT049,1104.56
DRI59,OUT018,2807.28
FDA52,OUT046,2370.18
FDT20,OUT010,59.41
FDE36,OUT019,438.22
FDI24,OUT017,2299.17
FDB28,OUT018,2636.01
FDV11,OUT017,2537.48
FDP01,OUT046,1909.02
FDD34,OUT027,4174.55
FDJ50,OUT027,1236.92
FDZ44,OUT013,1378.08
DRO59,OUT035,1142.56
DRB48,OUT045,589.74
FDR21,OUT018,1974.12
NCE42,OUT010,480.6
FDO23,OUT046,1351.16
NCE30,OUT018,2587.4
FDQ22,OUT035,536.34
FDY01,OUT045,1792.89
FDS08,OUT017,1947.93
FDG28,OUT018,2977.08
FDQ51,OUT018,635.94
FDB05,OUT017,2863.47
FDO56,OUT049,1508.58
FDE02,OUT018,1164.92
FDN45,OUT017,3456.86
FDS09,OUT013,622.7
NCA54,OUT018,2771.04
FDP09,OUT010,678.56
FDC53,OUT045,1052.27
NCM55,OUT017,2996.99
FDL09,OUT018,2232.83
FDA11,OUT019,245.18
FDA50,OUT045,1478.09
FDC23,OUT017,3281.9
FDE22,OUT049,2208.2
FDD23,OUT046,3116.73
NCA29,OUT049,2768.23
FDK38,OUT046,1786.88
DRC13,OUT046,1965.19
NCP43,OUT049,2739.69
FDX28,OUT049,1290.73
FDF08,OUT049,1278.97
FDZ33,OUT046,2130.73
FDD10,OUT049,2343.87
FDO58,OUT017,2387.3
FDI50,OUT017,3549.46
FDO58,OUT045,2264.46
FDX08,OUT013,3063.22
NCK17,OUT010,55.97
FDF39,OUT035,4014.09
FDU45,OUT010,237.44
NCJ18,OUT018,1702.01
DRC27,OUT019,420.04
DRC25,OUT035,1461.72
FDU59,OUT035,2195.86
FDU28,OUT035,2801.68
NCP30,OUT046,682.4
FDB39,OUT018,706.4
FDE41,OUT013,1212.13
DRH11,OUT010,127.83
FDA58,OUT045,3540.55
FDU50,OUT046,1357.01
FDM34,OUT013,1689.39
FDM44,OUT027,2287.75
FDR39,OUT045,3008.09
FDM25,OUT045,2208.87
FDQ49,OUT049,1852.1
DRH25,OUT018,821.8
FDM09,OUT027,3870.24
FDL44,OUT019,577.45
NCR42,OUT018,280.65
DRL59,OUT046,758.75
FDX43,OUT013,2171.88
DRK47,OUT010,529.25
FDU48,OUT018,1074.11
FDY12,OUT045,665.16
NCN43,OUT018,1658.19
NCM55,OUT018,2886.56
FDQ21,OUT027,3619.07
FDX13,OUT035,3938.59
NCK30,OUT027,7133.8
FDG20,OUT049,2175.2
DRG27,OUT017,703.32
FDY14,OUT018,3630.32
FDP59,OUT035,1408.71
FDU60,OUT017,2651.69
NCC18,OUT019,403.77
DRJ39,OUT017,3781.83
FDS07,OUT049,1754.2
FDM08,OUT027,5346.1
FDP51,OUT045,1924.6
FDU16,OUT035,1330.07
FDH12,OUT013,1679.96
DRE48,OUT010,421.44
NCL42,OUT027,6982.33
FDR21,OUT045,2628.05
NCW29,OUT035,1412.56
FDO11,OUT013,4407.74
NCM31,OUT049,1897.92
FDV35,OUT019,337.44
FDF58,OUT017,895.87
NCE43,OUT049,2615.3
FDA02,OUT035,2026.98
DRL37,OUT010,112.28
FDR24,OUT018,1208.3
FDW59,OUT049,1059.68
FDS22,OUT049,642.84
FDW24,OUT017,568.22
FDU24,OUT035,889.09
FDA21,OUT027,4675.03
FDH58,OUT027,2363.47
FDW36,OUT018,1288.37
FDI45,OUT027,5090.63
FDU01,OUT018,2796.32
FDF35,OUT027,2815.65
FDU43,OUT019,466.75
FDE24,OUT019,224.96
FDK50,OUT049,2485.29
FDG31,OUT045,915.68
FDC60,OUT045,1151.17
FDL36,OUT013,1349.63
FDP21,OUT013,3029.85
FDW16,OUT045,1101.34
FDX02,OUT017,3455.71
FDQ58,OUT027,4076.29
FDT51,OUT046,1418.32
FDD59,OUT049,1109.19
NCM42,OUT018,1377.74
FDA57,OUT018,508.62
FDZ48,OUT035,1509.39
FDE46,OUT045,2051.15
NCZ30,OUT019,307.71
FDB56,OUT017,2828.21
FDA25,OUT027,2622.7
FDD20,OUT013,1772.65
FDL25,OUT013,909.39
NCO18,OUT049,2797.37
FDJ45,OUT017,456.62
FDR12,OUT035,2369.16
NCF19,OUT010,121.55
FDK25,OUT046,2848.28
NCR17,OUT046,2000.55
FDC52,OUT046,2236.52
NCA54,OUT017,2916.87
FDR45,OUT010,610.08
NCM19,OUT049,1861.51
FDF39,OUT027,5631.83
FDX23,OUT049,1056.42
FDD58,OUT027,2055.46
FDX28,OUT013,1346.07
NCD31,OUT013,2489.65
FDU57,OUT018,2184.63
FDI27,OUT046,714.04
NCM42,OUT046,1533.81
FDD32,OUT027,1934.61
FDI34,OUT013,3651.83
NCM29,OUT049,1840.33
FDG46,OUT018,1653.59
DRC01,OUT010,83.07
FDB15,OUT027,6898.39
NCA17,OUT027,3625.01
FDF10,OUT046,1991.43
FDR26,OUT027,4543.78
FDI02,OUT049,1338.91
NCM54,OUT010,246.42
FDF14,OUT013,2140.1
FDJ33,OUT010,285.23
